toCheck,checked,checkedOld,checkedAlt,explanation,wordType,originalWordGender,originalWordNumb,wordID
aboyeurs,,,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,p,110
abracadabrant,,abracadabrant‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,111
abracadabrante,,abracadabrant‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,112
abracadabrantes,,abracadabrant‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,p,113
abracadabrants,,abracadabrant‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,p,114
abrasif,abrasif‧ve,abrasif‧ve,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,115
abrasifs,abrasif‧ve‧s,abrasif‧ve‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,p,116
abrasive,abrasif‧ve,abrasif‧ve,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,117
abrégé,abrégé‧e,abrégé‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,118
abrégée,abrégé‧e,abrégé‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,119
abrégés,abrégé‧e‧s,abrégé‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,p,120
abreuvé,abreuvé‧e,abreuvé‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,121
abreuvés,abreuvé‧e‧s,abreuvé‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,p,122
abréviatif,abréviatif‧ve,abréviatif‧ve,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,123
abritant,,abritant‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,124
abrité,abrité‧e,abrité‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,125
abritée,abrité‧e,abrité‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,126
abrités,abrité‧e‧s,abrité‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,p,127
abrogé,abrogé‧e,abrogé‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,128
abrupt,,abrupt‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,129
abrupte,,abrupt‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,130
abruptes,,abrupt‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,p,131
abrupts,,abrupt‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,p,132
abruti,,abruti‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,133
abrutie,,abruti‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,134
abruties,,abruti‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,p,135
abrutis,,abruti‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,p,136
abrutissant,,abrutissant‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,137
abrutissante,,abrutissant‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,138
abrutissantes,,abrutissant‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,p,139
abrutissants,,abrutissant‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,p,140
abscons,,abscon‧ne‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,,141
absconse,,,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,142
absconses,,,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,p,143
absent,,absent‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,144
absente,,absent‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,145
absentes,,absent‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,p,146
absents,,absent‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,p,147
absidiales,,absidiaux‧ales,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,p,148
absolu,absolu‧e,absolu‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,149
